dateTime,dos1rate,peak_std,Lm_OPQ,MLT_OPQ,lat,lon,alt,Dist_In_Track,Lag_In_Track,Dist_Total,Loss_Cone_Type,flag,AE,time_cc,space_cc,time_spatial_A,time_spatial_B,peak_width_A,peak_width_B,leader_counts_10,follower_counts_10,leader_counts_05,follower_counts_05
2016-09-26 03:29:13.000000,1220.01,7.541669165521776,6.44854,23.0893,56.2079,-69.1354,637.1469999999998,-5.7744800000000005,-0.764257,6.5997600000000025,1.0,4.0,431.0,-0.4548921633047613,0.8641582891253569,2016-09-26 03:29:13.764257,2016-09-26 03:29:13.000000,,0.8024692820430802,9709.996,10189.974,5690.05,5230.045
2016-09-26 04:05:29.699999,1050.01,4.781955899288569,6.47319,21.3852,-73.9912,-119.03200000000001,713.7610000000003,-6.2016300000000015,-0.8296030000000001,6.37326,0.0,0.0,634.0,0.5426935204864703,0.932597500352433,2016-09-26 04:05:30.529602,2016-09-26 04:05:29.699999,,0.8015603239027456,9200.058,10409.974,4980.035,5409.935
2016-09-26 04:19:37.600000,610.003,4.225219451602437,6.02736,10.6952,-52.0032,96.5306,682.427,-7.2103800000000025,-0.960727,8.0441,1.0,0.0,276.0,0.5844205481506156,0.9191856043869936,2016-09-26 04:19:38.560727,2016-09-26 04:19:37.600000,0.7571221010733546,0.5747219510105824,4629.965999999999,4540.026,2670.014,2420.014
2016-09-26 04:53:30.699999,370.00199999999995,3.2879872995657236,7.7911100000000015,9.73204,71.5088,53.3654,618.4119999999998,-6.903519999999999,-0.9109229999999999,7.10272,1.0,0.0,355.0,-0.4898326221348513,0.8344322229902044,2016-09-26 04:53:31.610922,2016-09-26 04:53:30.699999,,0.9626938450035742,3419.986,4890.027,1760.0099999999998,2630.0150000000003
2016-09-28 21:22:55.100000,1129.89,6.113920217342027,6.99184,13.2767,-71.0797,-145.71,696.057,-6.50957,-0.868643,6.80492,1.0,0.0,669.0,0.684614226015406,0.8526045862002434,2016-09-28 21:22:55.968643,2016-09-28 21:22:55.100000,0.7616319172360411,0.9370735474812768,9269.955,7810.0430000000015,5339.925,4240.023
2016-09-28 21:22:59.399999,820.0039999999997,3.423380001775712,6.93142,13.2469,-70.8434,-146.062,695.829,-6.51446,-0.8692709999999999,6.8169,1.0,0.0,669.0,0.3275975356216977,0.8089660436721253,2016-09-28 21:23:00.269270,2016-09-28 21:22:59.399999,0.7799266708621388,0.7990431986603547,6810.035999999999,5539.976,3720.0199999999995,2980.016
2016-09-28 22:01:53.700000,1670.01,6.8957748544764375,6.47147,7.69698,70.2298,158.10299999999995,619.153,-6.09342,-0.8042020000000001,6.39166,1.0,0.0,357.0,0.2333598166067752,0.8971985946587199,2016-09-28 22:01:53.700000,2016-09-28 22:01:52.895798,0.7599094652421883,,14530.1,13409.94,7380.05,7619.900000000001
2016-09-28 22:02:11.800000,1260.01,7.593284340667245,7.06125,7.58755,71.2487,156.614,619.639,-6.0694099999999995,-0.80107,6.33622,1.0,0.0,357.0,0.2950935282063161,0.8069054820303322,2016-09-28 22:02:11.800000,2016-09-28 22:02:10.998930,0.7483374870135501,,13260.1,10059.97,7410.05,5859.93
2016-09-28 22:02:40.000000,820.0039999999997,3.919869445290656,8.12316,7.398919999999999,72.8115,153.97299999999996,620.414,-6.03342,-0.7963779999999999,6.25491,1.0,0.0,358.0,-0.2718488432383463,0.8165494233582481,2016-09-28 22:02:40.000000,2016-09-28 22:02:39.203622,0.7529755027359114,,9910.08,6539.9659999999985,5020.04,3819.95
2016-09-28 22:03:39.200000,279.973,3.4744002015069664,10.6546,6.952939999999999,75.9548,146.709,621.928,-5.95517,-0.786184,6.0938,-1.0,0.0,361.0,-0.05996646542940134,0.9714755770404492,2016-09-28 22:03:39.200000,2016-09-28 22:03:38.413816,0.3697933795326598,,2290.0142,1099.9781,1530.009,839.9762999999999
2016-09-28 22:12:53.100000,530.003,5.625447764766254,6.01954,0.823341,66.2111,16.3282,637.552,-5.26433,-0.6966600000000001,5.80267,1.0,0.0,297.0,-0.1990674534024673,0.8206227505951769,2016-09-28 22:12:53.100000,2016-09-28 22:12:52.403340,0.7414051250534469,,5830.029999999999,4210.022,3060.016,2470.014
2016-09-28 23:40:13.199999,780.0039999999997,6.227541688071162,7.51939,7.96662,72.3035,130.409,620.746,-5.95201,-0.785619,6.18279,1.0,0.0,430.0,-0.010027577152681141,0.9085896464569672,2016-09-28 23:40:13.985618,2016-09-28 23:40:13.199999,0.1500000000000002,0.7646615098378609,6310.034000000001,5059.982,3580.019,2799.9700000000003
2016-09-28 23:50:40.700000,520.003,5.000009876534065,7.118360000000001,0.8854110000000001,65.9522,-8.35018,637.814,-5.1494,-0.681481,5.6818800000000005,0.0,4.0,370.0,-0.3309377415919766,0.8627757765276198,2016-09-28 23:50:40.700000,2016-09-28 23:50:40.018519,0.4389625763469002,,3230.0199,3309.9730000000004,1610.0100000000002,2219.967
2016-09-28 23:50:43.600000,420.00199999999995,5.500037109303131,6.9843699999999975,0.861658,65.7839,-8.5093,637.9019999999998,-5.14649,-0.681106,5.68651,1.0,4.0,370.0,-0.18230766572412707,0.8589280857240819,2016-09-28 23:50:43.600000,2016-09-28 23:50:42.918894,0.6362073012542919,,3339.98,2900.015,1839.9729999999997,1950.0099999999998
2016-09-28 23:50:44.600000,370.00199999999995,3.5390841334200607,6.94803,0.854815,65.7258,-8.56359,637.948,-5.14548,-0.680977,5.68811,1.0,4.0,370.0,-0.5680448765487152,0.8816170831355205,2016-09-28 23:50:44.600000,2016-09-28 23:50:43.919023,0.3671676944784672,,1770.0098999999998,2199.9781,580.0029999999999,1379.9733999999999
2016-09-28 23:50:49.500000,400.00199999999995,3.590315901127189,6.74178,0.817228,65.4411,-8.82678,638.089,-5.14034,-0.6803140000000001,5.6955800000000005,1.0,4.0,370.0,-0.13933360236658038,0.9300601483306328,2016-09-28 23:50:49.500000,2016-09-28 23:50:48.819686,0.3514286644893439,,1030.0033999999996,1270.0066,680.0045,1080.0055
2016-09-29 02:07:52.500000,330.0019999999999,2.2630200775634592,5.5286300000000015,20.5778,-75.2842,-92.6052,711.056,-5.85295,-0.782647,6.0103800000000005,0.0,0.0,422.0,0.2648541014547386,0.8577639991031585,2016-09-29 02:07:53.282647,2016-09-29 02:07:52.500000,,0.6624774134958803,2359.9829999999997,3570.0199999999995,1439.9779999999998,1950.0099999999998
2016-09-29 03:06:11.099999,220.00099999999998,3.6244188647892814,,23.9953,65.6796,-57.518,638.705,-5.09218,-0.673951,5.64065,-1.0,4.0,609.0,-0.14978835695872475,0.9713569074681794,2016-09-29 03:06:11.773950,2016-09-29 03:06:11.099999,0.23333311111259256,0.5583334549992384,1390.0074,1679.9820000000002,890.0043999999999,1109.9789999999998
2016-09-29 03:06:15.699999,210.00099999999998,3.9279301294756217,,23.9644,65.4123,-57.7614,638.891,-5.08782,-0.6733899999999999,5.64844,-1.0,4.0,609.0,-0.2710477056454504,0.8438496327187092,2016-09-29 03:06:16.373389,2016-09-29 03:06:15.699999,,0.3244499220622187,809.9858,890.0051,619.9847,550.0029
2016-09-29 03:44:49.600000,380.00199999999995,3.731099089480757,5.40988,21.322,-72.8808,-111.74,711.405,-5.79004,-0.774299,6.01412,1.0,0.0,737.0,-0.2287532995368765,0.9000507137974434,2016-09-29 03:44:50.374299,2016-09-29 03:44:49.600000,,,2999.9859999999994,3729.991,1730.0099999999998,1960.0099999999998
2016-09-29 03:59:45.100000,260.001,3.138058049431624,5.44473,10.752,-50.3528,100.867,673.9630000000002,-6.786860000000001,-0.903244,7.78235,1.0,0.0,735.0,0.08978798914310937,0.9067596045397339,2016-09-29 03:59:46.003244,2016-09-29 03:59:45.100000,,0.10000000000000134,2239.983,2340.01,1250.0049999999999,1200.0049999999999
2016-09-29 04:32:46.299999,1490.01,7.545158014935082,6.96698,9.67201,70.2381,60.3685,619.4490000000002,-5.9480699999999995,-0.785044,6.2378300000000015,1.0,0.0,665.0,-0.3616155667785902,0.9598869001898812,2016-09-29 04:32:46.299999,2016-09-29 04:32:45.514955,0.7450232205299832,,13069.965,13569.97,7110.05,7180.05
2016-09-29 04:33:06.400000,1179.89,5.798850135128182,7.67466,9.642489999999999,71.4065,58.6015,620.586,-5.92375,-0.781874,6.18128,1.0,0.0,665.0,0.1432340629828829,0.8154394044699997,2016-09-29 04:33:07.181874,2016-09-29 04:33:06.400000,,,10059.965,11360.1,5789.93,5820.05
2016-09-29 04:33:08.400000,730.0039999999997,2.001409837861439,7.7477899999999975,9.63972,71.5182,58.4253,620.611,-5.92109,-0.781528,6.17541,1.0,0.0,665.0,-0.13538743407345735,0.8851489290079128,2016-09-29 04:33:09.181528,2016-09-29 04:33:08.400000,0.05827249999999992,0.9421980137764396,5839.96,8150.043000000001,3399.948,4420.023
